userid,permissions,bugsfiled,assignedto
1,0,157,675633
7313,Can confirm bugs can edit any bug,1843,1768
8636,Can confirm bugs can edit any bug,1465,1408
11539,Can confirm bugs can edit any bug,1526,1040
14534,Can confirm bugs can edit any bug,216,2645
17036,Can confirm bugs can edit any bug,1693,1289
20209,Can confirm bugs can edit any bug,6724,5720
23402,Can confirm bugs can edit any bug,3224,1877
24045,Can confirm bugs can edit any bug,1324,1126
39966,Can confirm bugs can edit any bug,2344,2261
47192,Can confirm bugs can edit any bug,3888,3342
62447,0,3,0
75935,Can confirm bugs can edit any bug,6455,1106
106098,Can confirm bugs can edit any bug,1373,1224
112088,Can confirm bugs can edit any bug,4954,3322
130462,Can confirm bugs can edit any bug,1998,1436
131213,Can confirm bugs can edit any bug,1245,1066
159069,Can confirm bugs can edit any bug,2678,2388
185001,Can confirm bugs can edit any bug,789,545
219124,Can confirm bugs can edit any bug,2409,2807
227322,Can confirm bugs can edit any bug,946,738
237483,Can confirm bugs can edit any bug,152,139
240353,Can confirm bugs can edit any bug,1932,1782
251051,Can confirm bugs can edit any bug,6496,4312
268625,Can confirm bugs can edit any bug,219,489
281508,Can confirm bugs can edit any bug,730,839
287422,Can confirm bugs can edit any bug,1186,997
291675,Can confirm bugs can edit any bug,840,818
308534,Can confirm bugs can edit any bug,4205,417
313730,Can confirm bugs can edit any bug,1552,1309
314838,Can confirm bugs can edit any bug,485,100
329583,Can confirm bugs can edit any bug,1090,1789
334849,Can confirm bugs can edit any bug,2547,2111
339062,Can confirm bugs can edit any bug,315,445
349244,Can confirm bugs can edit any bug,937,752
363267,Can confirm bugs can edit any bug,823,850
373403,Can confirm bugs can edit any bug,1591,946
403756,Can confirm bugs can edit any bug,2223,1344
404637,Can confirm bugs can edit any bug,673,778
406670,Can confirm bugs can edit any bug,669,22
411471,Can confirm bugs can edit any bug,1610,2410
417707,Can confirm bugs can edit any bug,180,72
419431,Can confirm bugs can edit any bug,858,986
420096,Can confirm bugs can edit any bug,1536,1078
421268,Can confirm bugs can edit any bug,115,109
421286,Can confirm bugs can edit any bug,294,224
424102,Can confirm bugs can edit any bug,1006,411
426788,Can confirm bugs can edit any bug,3695,3048
428608,Can confirm bugs can edit any bug,773,205
432261,Can confirm bugs can edit any bug,667,645
432887,Can confirm bugs can edit any bug,1276,877
445472,Can confirm bugs can edit any bug,1627,658
446257,Can confirm bugs can edit any bug,1486,2352
447061,Can confirm bugs can edit any bug,519,362
448747,Can confirm bugs can edit any bug,813,575
453372,0,2,1
455480,Can confirm bugs can edit any bug,511,573
458165,Can confirm bugs can edit any bug,591,576
463180,Can confirm bugs can edit any bug,112,184
470081,Can confirm bugs can edit any bug,217,121
470713,Can confirm bugs can edit any bug,530,314
471096,Can confirm bugs can edit any bug,130,118
472516,Can confirm bugs can edit any bug,770,422
474533,Can confirm bugs can edit any bug,1130,685
480362,Can confirm bugs can edit any bug,273,243
489889,Can confirm bugs can edit any bug,334,431
495422,Can confirm bugs can edit any bug,178,360
495454,Can confirm bugs can edit any bug,191,111
495955,Can confirm bugs can edit any bug,1584,792
501532,Can confirm bugs can edit any bug,324,164
503090,Can confirm bugs can edit any bug,536,564
504868,Can confirm bugs can edit any bug,1042,535
512198,Can confirm bugs can edit any bug,1304,1198
517691,Can confirm bugs can edit any bug,507,654
521718,Can confirm bugs can edit any bug,239,365
522029,Can confirm bugs can edit any bug,590,538
533624,Can confirm bugs can edit any bug,384,399
541581,Can confirm bugs can edit any bug,87,30
542679,Can confirm bugs can edit any bug,105,227
546716,Can confirm bugs can edit any bug,2070,2601
552411,Can confirm bugs can edit any bug,136,184
554238,Can confirm bugs can edit any bug,17,9
560379,Can confirm bugs can edit any bug,301,296
561655,Can confirm bugs can edit any bug,310,400
563455,Can confirm bugs can edit any bug,389,281
565489,Can confirm bugs can edit any bug,251,155
571010,Can confirm bugs can edit any bug,165,308
582291,Can confirm bugs can edit any bug,116,185
585737,Can confirm bugs can edit any bug,28,63
590636,Can confirm bugs can edit any bug,59,4
590935,0,107,11
600635,Can confirm bugs can edit any bug,105,5
603781,Can confirm bugs can edit any bug,17,26
603937,0,0,1
605529,Can confirm bugs can edit any bug,4,1
609341,Can confirm bugs can edit any bug,6,4
609548,Can confirm bugs can edit any bug,14,4
609765,Can confirm bugs can edit any bug,1,10
613831,Can confirm bugs can edit any bug,81,205
613866,Can confirm bugs can edit any bug,35,95
614323,Can confirm bugs can edit any bug,22,69
616563,0,0,2
618036,Can confirm bugs can edit any bug,2,6
618050,Can confirm bugs can edit any bug,53,71
619562,Can confirm bugs can edit any bug,48,22
620657,Can confirm bugs can edit any bug,42,3
622974,Can confirm bugs can edit any bug,239,275
627876,Can confirm bugs can edit any bug,20,5
631205,Can confirm bugs can edit any bug,45,62
631393,0,3,8
634638,0,1,3
634918,Can confirm bugs can edit any bug,3,12
637310,Can confirm bugs can edit any bug,0,7
637427,Can confirm bugs can edit any bug,1,10
637710,Can confirm bugs can edit any bug,4,13
637754,Can confirm bugs can edit any bug,0,2
638559,Can confirm bugs can edit any bug,0,1
645505,0,0,1
624474,Can confirm bugs can edit any bug,123,36
