userid,permissions,bugsfiled,assignedto
1,0,157,674992
459026,0,2,6
626306,0,0,2
626582,0,0,1
600660,0,36,42
473288,0,4,33
652142,0,2,46
642526,0,4,47
655437,0,0,1
609173,0,1,1
610407,0,0,1
607638,0,0,3
459562,0,498,364
587329,0,6,2
520642,0,1,2
601719,0,12,11
623506,0,3,5
628699,0,0,5
623106,0,0,2
628071,0,0,1
303598,0,13,4
623476,0,12,11
623461,0,6,6
627904,0,0,2
577319,0,63,2
628951,0,1,3
640049,0,0,1
625295,0,0,3
496127,0,961,520
631374,0,3,8
631394,0,2,6
640492,0,0,4
607768,0,0,7
634336,0,1,9
634405,0,0,1
635029,0,1,6
634381,0,1,5
581226,0,119,60
655962,0,1,7
565047,0,0,2
640210,0,0,6
228478,0,0,2
630028,0,10,24
644901,0,2,5
658447,0,0,9
642995,0,0,1
404761,0,14,1
644511,0,0,2
611111,0,10,4
650780,0,0,1
611268,0,0,1
617148,0,11,7
658450,0,1,5
634198,0,1,6
631390,0,1,11
658437,0,1,3
647039,0,1,18
613543,0,2,1
658715,0,2,4
447240,0,8,10
649317,0,1,1
650857,0,0,7
658477,0,1,3
653153,0,1,3
658699,0,0,3
631100,0,18,30
653970,0,0,1
653357,0,1,1
617228,0,0,3
627929,0,0,3
652020,0,1,1
548031,0,175,221
607499,0,0,2
609439,0,0,2
648200,0,0,1
609810,0,0,1
609171,0,0,1
594638,0,0,2
602518,0,0,5
611128,0,0,1
550767,0,1,2
613509,0,0,1
527330,0,0,2
612456,0,0,1
613360,0,0,2
615440,0,0,1
616009,0,0,1
616563,0,0,2
604463,0,3,7
614441,0,0,3
614280,0,0,2
622436,0,0,2
623654,0,0,3
527307,0,0,2
618328,0,0,1
617832,0,0,2
620035,0,0,2
598092,0,16,39
609853,0,0,1
303427,0,539,196
580676,0,0,2
621255,0,0,6
506274,0,1,13
619557,0,0,2
625266,0,17,27
611174,0,0,2
367964,0,11,6
623503,0,0,1
601215,0,33,41
15223,0,6138,2956
619502,0,0,5
623389,0,4,4
475057,0,55,5
622325,0,0,3
634764,0,0,4
625942,0,0,1
626738,0,0,1
628116,0,0,1
628078,0,2,4
628038,0,0,1
628678,0,2,4
631389,0,3,4
531108,0,0,1
658763,0,1,5
596798,0,3,1
631393,0,3,8
631175,0,0,2
630055,0,0,2
633193,0,0,1
632982,0,0,3
633714,0,0,4
634287,0,0,2
634167,0,0,1
634228,0,0,1
634403,0,0,1
634389,0,5,40
633829,0,0,1
634435,0,0,1
634179,0,0,1
636059,0,1,10
603292,0,20,8
611577,0,0,3
638428,0,0,1
635756,0,1,3
646875,0,0,2
658675,0,0,2
658594,0,1,3
658534,0,0,3
236382,0,8,4
656597,0,0,4
649146,0,0,3
648836,0,4,1
652282,0,9,3
652691,0,1,1
632307,0,3,7
654840,0,1,3
570214,0,0,11
642677,0,0,4
639034,0,0,2
344157,0,1,2
644490,0,0,1
638907,0,0,2
638884,0,3,7
640828,0,0,1
637406,0,47,40
646291,0,2,3
658717,0,0,4
646156,0,1,3
656792,0,0,3
649567,0,0,2
258578,0,14,4
589163,0,0,16
622286,0,1,1
612477,0,3,11
61865,0,0,0
99100,Can confirm bugs,2105,1760
621517,Can confirm bugs,0,2
27300,Can confirm bugs can edit any bug,2220,2111
373403,Can confirm bugs can edit any bug,1591,945
106098,Can confirm bugs can edit any bug,1373,1228
34283,Can confirm bugs can edit any bug,1797,2068
442174,Can confirm bugs can edit any bug,138,459
403756,Can confirm bugs can edit any bug,2218,1340
476157,Can confirm bugs can edit any bug,313,459
258347,Can confirm bugs can edit any bug,4634,699
7313,Can confirm bugs can edit any bug,1841,1767
578488,Can confirm bugs can edit any bug,971,578
582499,Can confirm bugs can edit any bug,179,189
561655,Can confirm bugs can edit any bug,310,400
550257,Can confirm bugs can edit any bug,135,184
305228,Can confirm bugs can edit any bug,1637,801
481547,Can confirm bugs can edit any bug,351,373
524060,Can confirm bugs can edit any bug,136,211
522029,Can confirm bugs can edit any bug,590,538
466874,Can confirm bugs can edit any bug,579,758
571709,Can confirm bugs can edit any bug,169,212
471708,Can confirm bugs can edit any bug,228,289
538785,Can confirm bugs can edit any bug,376,283
446256,Can confirm bugs can edit any bug,712,544
463945,Can confirm bugs can edit any bug,465,590
389449,Can confirm bugs can edit any bug,631,655
363318,Can confirm bugs can edit any bug,562,413
159069,Can confirm bugs can edit any bug,2676,2382
75935,Can confirm bugs can edit any bug,6450,1101
112088,Can confirm bugs can edit any bug,4947,3316
272464,Can confirm bugs can edit any bug,562,960
425126,Can confirm bugs can edit any bug,255,235
563455,Can confirm bugs can edit any bug,389,281
383215,Can confirm bugs can edit any bug,901,1525
446257,Can confirm bugs can edit any bug,1486,2351
556482,Can confirm bugs can edit any bug,386,223
446735,Can confirm bugs can edit any bug,248,130
644141,Can confirm bugs can edit any bug,43,82
506322,Can confirm bugs can edit any bug,536,426
485177,Can confirm bugs can edit any bug,72,95
638890,Can confirm bugs can edit any bug,54,122
636759,Can confirm bugs can edit any bug,14,13
6102,Can confirm bugs can edit any bug,589,1030
560445,Can confirm bugs can edit any bug,77,82
219124,Can confirm bugs can edit any bug,2407,2805
1537,Can confirm bugs can edit any bug,1182,506
445472,Can confirm bugs can edit any bug,1627,658
332229,Can confirm bugs can edit any bug,799,614
41270,Can confirm bugs can edit any bug,1192,833
16943,Can confirm bugs can edit any bug,1323,832
546716,Can confirm bugs can edit any bug,2062,2585
91159,Can confirm bugs can edit any bug,2241,1361
539482,Can confirm bugs can edit any bug,90,160
470713,Can confirm bugs can edit any bug,530,314
