userid,permissions,bugsfiled,assignedto
851,0,0,0
1450,Can confirm bugs can edit any bug,131,46
5003,Can confirm bugs can edit any bug,1599,13350
5490,Can confirm bugs can edit any bug,1855,937
7313,Can confirm bugs can edit any bug,1843,1768
7417,Can confirm bugs can edit any bug,189,405
8519,Can confirm bugs can edit any bug,4646,2475
8636,Can confirm bugs can edit any bug,1465,1408
10297,Can confirm bugs can edit any bug,2122,5317
11539,Can confirm bugs can edit any bug,1526,1040
13899,0,309,0
16943,Can confirm bugs can edit any bug,1325,832
20209,Can confirm bugs can edit any bug,6724,5720
23131,Can confirm bugs can edit any bug,1338,1006
23402,Can confirm bugs can edit any bug,3224,1877
24045,Can confirm bugs can edit any bug,1324,1126
24572,Can confirm bugs can edit any bug,5270,1140
31846,Can confirm bugs can edit any bug,40,13
33200,0,3,0
33946,0,11,0
34283,Can confirm bugs can edit any bug,1800,2071
35109,0,23,0
38559,0,5,0
39966,Can confirm bugs can edit any bug,2344,2261
41270,Can confirm bugs can edit any bug,1194,838
41385,Can confirm bugs can edit any bug,1198,651
47002,0,134,0
47192,Can confirm bugs can edit any bug,3888,3342
50496,0,38,0
57981,Can confirm bugs can edit any bug,354,0
66555,0,70,2
75935,Can confirm bugs can edit any bug,6455,1106
76551,Can confirm bugs can edit any bug,5507,2175
80064,0,14,0
80081,Can confirm bugs can edit any bug,98,24
80777,0,30,0
83595,Can confirm bugs can edit any bug,1576,1509
90075,0,10,0
94210,0,59,0
96908,Can confirm bugs can edit any bug,828,641
99100,Can confirm bugs,2105,1760
104905,Can confirm bugs can edit any bug,152,3
106098,Can confirm bugs can edit any bug,1373,1224
110217,Can confirm bugs can edit any bug,249,16
112088,Can confirm bugs can edit any bug,4954,3322
113380,Can confirm bugs can edit any bug,265,136
126123,0,6,0
128621,0,9,0
129968,Can confirm bugs can edit any bug,2146,1194
130462,Can confirm bugs can edit any bug,1998,1436
131213,Can confirm bugs can edit any bug,1245,1066
134154,0,28,0
134396,0,22,0
138003,0,4,0
147046,0,25,0
156176,0,75,0
158407,Can confirm bugs can edit any bug,45,70
159069,Can confirm bugs can edit any bug,2678,2388
168654,0,21,0
169644,0,3,0
180163,0,384,1
185001,Can confirm bugs can edit any bug,789,545
194366,Can confirm bugs can edit any bug,512,505
197684,0,16,0
209011,Can confirm bugs can edit any bug,1370,18
212233,0,40,0
213632,Can confirm bugs can edit any bug,1729,357
218749,0,11,0
219124,Can confirm bugs can edit any bug,2409,2807
220860,0,1,0
222873,0,12,0
227322,Can confirm bugs can edit any bug,946,738
228127,0,108,0
230676,0,4,0
235797,0,40,0
237483,Can confirm bugs can edit any bug,152,139
240219,Can confirm bugs can edit any bug,814,648
241132,0,157,0
243141,Can confirm bugs can edit any bug,9,0
250069,0,7,0
250435,Can confirm bugs can edit any bug,337,6
251051,Can confirm bugs can edit any bug,6496,4312
251396,0,10,0
257199,0,72,0
258347,Can confirm bugs can edit any bug,4648,703
262728,0,10,0
273233,0,2,0
277208,0,4,0
278074,Can confirm bugs can edit any bug,4783,1858
278510,0,25,0
279076,Can confirm bugs can edit any bug,963,123
279663,Can confirm bugs can edit any bug,2044,1117
280414,0,2,0
281508,Can confirm bugs can edit any bug,730,839
285277,0,16,0
286554,0,15,0
286798,0,20,0
288195,0,3,0
289319,0,4,0
291675,Can confirm bugs can edit any bug,840,818
292992,0,8,0
293900,Can confirm bugs can edit any bug,97,0
293943,Can confirm bugs can edit any bug,1996,1475
296089,0,3,0
296773,0,32,0
300798,0,31,0
302832,0,1,0
303902,0,35,0
307665,0,3,0
308230,0,5,0
308534,Can confirm bugs can edit any bug,4205,417
314838,Can confirm bugs can edit any bug,485,100
314995,0,16,0
321571,0,14,0
322857,0,13,0
324370,Can confirm bugs can edit any bug,3630,1164
327280,0,30,0
329435,Can confirm bugs,13,0
329583,Can confirm bugs can edit any bug,1090,1789
330517,0,22,0
334214,0,8,0
334849,Can confirm bugs can edit any bug,2547,2111
334931,Can confirm bugs can edit any bug,517,208
335249,0,5,0
337258,0,17,0
339458,Can confirm bugs can edit any bug,182,10
339483,0,25,0
342842,Can confirm bugs can edit any bug,578,2
343778,0,51,0
346453,Can confirm bugs can edit any bug,639,259
347239,Can confirm bugs can edit any bug,697,4
349211,Can confirm bugs can edit any bug,112,16
349244,Can confirm bugs can edit any bug,937,752
349393,0,1,0
351930,0,9,0
353391,0,2,0
359208,Can confirm bugs can edit any bug,317,8
362030,Can confirm bugs can edit any bug,140,159
363974,0,11,0
364883,Can confirm bugs can edit any bug,1666,465
369453,0,508,0
370827,0,3,0
373403,Can confirm bugs can edit any bug,1591,946
373716,0,2,0
374109,0,19,0
376150,0,2,0
381361,0,2,0
387904,0,2,0
388264,Can confirm bugs can edit any bug,1474,812
389500,Can confirm bugs can edit any bug,447,171
390059,0,4,2
390918,0,4,0
390944,Can confirm bugs can edit any bug,73,30
391404,Can confirm bugs can edit any bug,446,2
391444,0,2,0
393355,Can confirm bugs can edit any bug,58,0
396126,0,5,0
396948,Can confirm bugs can edit any bug,1181,525
397105,Can confirm bugs can edit any bug,27,104
397366,0,7,0
399118,0,15,0
401476,0,3,0
401666,Can confirm bugs can edit any bug,89,40
402014,Can confirm bugs can edit any bug,276,54
403130,0,2,0
404027,Can confirm bugs can edit any bug,713,118
406139,0,86,1
406194,Can confirm bugs can edit any bug,2898,1627
406670,Can confirm bugs can edit any bug,669,22
408176,0,1,0
408668,0,4,0
409128,Can confirm bugs can edit any bug,65,11
410720,0,23,0
411247,0,2,0
411471,Can confirm bugs can edit any bug,1610,2410
411628,Can confirm bugs can edit any bug,8,0
415378,Can confirm bugs can edit any bug,504,749
418152,Can confirm bugs can edit any bug,222,174
420096,Can confirm bugs can edit any bug,1536,1078
420448,Can confirm bugs can edit any bug,631,355
420453,Can confirm bugs can edit any bug,1638,576
421268,Can confirm bugs can edit any bug,115,109
422935,0,34,0
425210,0,15,0
425266,0,1,0
425756,0,21,0
426308,0,9,0
426788,Can confirm bugs can edit any bug,3695,3048
428161,Can confirm bugs can edit any bug,22,3
428538,Can confirm bugs can edit any bug,197,11
428608,Can confirm bugs can edit any bug,773,205
428667,Can confirm bugs can edit any bug,442,138
430014,0,59,0
430528,Can confirm bugs can edit any bug,2962,918
432697,0,113,0
432887,Can confirm bugs can edit any bug,1276,877
438792,0,69,9
439275,Can confirm bugs can edit any bug,51,3520
439671,Can confirm bugs can edit any bug,976,379
441395,0,14,0
441856,Can confirm bugs can edit any bug,211,291
441872,Can confirm bugs can edit any bug,1331,583
442162,0,2,0
442930,0,26,0
443622,Can confirm bugs can edit any bug,651,391
443968,0,13,0
443982,0,14,0
444090,0,3,0
445472,Can confirm bugs can edit any bug,1627,658
445496,Can confirm bugs can edit any bug,183,1
446256,Can confirm bugs can edit any bug,714,544
446257,Can confirm bugs can edit any bug,1486,2352
446573,0,22,2
447061,Can confirm bugs can edit any bug,519,362
447319,0,10,0
448219,0,2,0
448747,Can confirm bugs can edit any bug,813,575
448948,0,4,0
449258,Can confirm bugs can edit any bug,151,0
451255,0,88,0
451704,Can confirm bugs can edit any bug,415,41
452479,0,3,0
452616,0,18,0
453372,0,2,1
455393,0,38,0
456035,Can confirm bugs can edit any bug,392,393
456224,0,3,0
456498,Can confirm bugs can edit any bug,565,403
456928,0,19,0
457247,0,4,0
458165,Can confirm bugs can edit any bug,591,576
461850,Can confirm bugs can edit any bug,400,210
463180,Can confirm bugs can edit any bug,112,184
468507,Can confirm bugs,56,1
468896,0,2,0
470081,Can confirm bugs can edit any bug,217,121
470713,Can confirm bugs can edit any bug,530,314
471927,Can confirm bugs can edit any bug,28,4
473831,0,29,0
473918,Can confirm bugs can edit any bug,748,478
474252,0,3,0
474263,0,31,0
474533,Can confirm bugs can edit any bug,1130,685
474550,Can confirm bugs can edit any bug,391,17
475758,Can confirm bugs can edit any bug,266,65
475850,0,14,0
476192,0,1,0
477077,0,116,0
480097,0,1,0
480317,0,2,0
480362,Can confirm bugs can edit any bug,273,243
481559,Can confirm bugs can edit any bug,116,61
481847,Can confirm bugs can edit any bug,197,101
482522,0,2,0
483302,Can confirm bugs can edit any bug,222,252
484068,0,22,1
484913,0,3,0
486634,Can confirm bugs can edit any bug,1627,17
487681,0,1,1
487869,0,35,0
488502,0,10,0
489014,Can confirm bugs can edit any bug,360,34
489052,Can confirm bugs can edit any bug,119,0
489339,Can confirm bugs can edit any bug,121,152
489889,Can confirm bugs can edit any bug,334,431
490296,Can confirm bugs,122,9
491010,0,8,0
495419,0,6,0
495422,Can confirm bugs can edit any bug,178,360
495955,Can confirm bugs can edit any bug,1584,792
496127,0,961,520
496477,0,47,0
497132,0,3,0
497175,0,2,0
498695,0,17,0
499005,0,7,0
499633,Can confirm bugs can edit any bug,765,611
499768,0,19,0
499849,Can confirm bugs can edit any bug,82,28
501107,Can confirm bugs can edit any bug,325,33
501532,Can confirm bugs can edit any bug,324,164
501703,0,8,0
502596,0,29,0
503090,Can confirm bugs can edit any bug,536,564
505458,0,1,0
506322,Can confirm bugs can edit any bug,537,426
506507,0,3,0
507203,0,12,0
508324,0,4,0
509767,0,2,0
511892,0,26,27
512198,Can confirm bugs can edit any bug,1304,1198
514263,0,4,0
514390,0,18,0
516011,0,3,0
516334,0,59,0
