userid,permissions,bugsfiled,assignedto
93,0,14,0
4040,0,37,0
6635,0,53,0
11473,0,56,0
11616,0,20,0
13899,0,309,0
14358,0,34,0
14453,0,43,0
15161,0,24,0
15223,0,6138,2956
17203,0,149,2
17313,0,159,0
17813,0,17,0
19678,0,35,0
20324,0,38,0
24356,0,17,0
26278,0,14,0
27361,0,23,0
27648,0,16,0
27672,0,1,0
28428,0,57,0
29948,0,211,2
30286,0,10,0
30898,0,13,0
31073,0,25,1
31799,0,5,0
31893,0,4,0
32930,0,5,0
34351,0,10,0
36264,0,8,0
36798,0,10,0
37344,0,31,0
38194,0,4,0
38545,0,22,0
39151,0,125,0
39206,0,92,0
39506,0,15,0
40812,0,147,0
41485,0,44,0
42530,0,8,0
43111,0,20,0
43137,0,2,0
43412,0,111,0
43425,0,13,0
45240,0,33,0
45762,0,55,0
47002,0,134,0
47398,0,186,0
47880,0,8,2
48227,0,34,0
49012,0,31,0
49690,0,21,0
49981,0,10,0
50496,0,38,0
51404,0,1,0
51498,0,3,0
53137,0,6,0
53423,0,31,1
53645,0,5,0
54774,0,10,0
55159,0,15,0
55275,0,102,0
55630,0,3,0
56625,0,7,0
56868,0,8,0
57285,0,35,0
57578,0,63,0
61240,0,10,0
61396,0,17,0
61536,0,3,0
61755,0,24,0
65459,0,18,0
66249,0,17,0
66555,0,70,2
66576,0,198,0
67907,0,2,0
70186,0,3,0
71972,0,13,0
75726,0,11,0
78211,0,15,0
78226,0,23,0
80777,0,30,0
82988,0,2,0
84646,0,2,0
84917,0,27,0
85210,0,55,0
85397,0,22,0
88784,0,1,0
89285,0,1,0
90075,0,10,0
90349,0,4,0
91158,0,14,0
92053,0,43,0
92419,0,146,0
92872,0,8,0
94210,0,59,0
96044,0,6,0
96718,0,91,0
96789,0,9,0
101554,0,1,0
103047,0,2,0
103664,0,11,0
105196,0,14,0
106761,0,46,0
107247,0,29,0
107831,0,8,0
108289,0,7,2
108311,0,17,0
110990,0,12,0
116051,0,18,0
117190,0,72,0
118132,0,5,0
119615,0,17,0
121049,0,51,0
121196,0,2,0
122318,0,25,0
124422,0,10,0
124596,0,76,0
124800,0,3,0
124976,0,106,0
127463,0,2,0
128541,0,46,0
131358,0,22,1
132080,0,4,0
132166,0,3,1
132820,0,13,0
134342,0,5,0
134671,0,24,0
138744,0,10,0
139253,0,13,0
139257,0,9,0
139489,0,18,0
140114,0,19,0
140285,0,20,0
140301,0,8,0
140503,0,7,0
140598,0,8,0
140694,0,4,0
141226,0,219,0
141751,0,60,1
144394,0,18,0
145027,0,10,0
145668,0,13,0
146001,0,23,0
146008,0,10,0
146019,0,9,0
147046,0,25,0
148798,0,12,0
150511,0,51,0
150935,0,6,0
153551,0,20,0
156176,0,75,0
160896,0,1,0
161224,0,3,0
161984,0,4,0
162567,0,8,0
162868,0,29,0
164071,0,4,0
165373,0,13,0
165473,0,57,0
166739,0,14,0
167646,0,3,0
167655,0,5,0
167728,0,7,0
168398,0,20,0
168654,0,21,0
169644,0,3,0
171923,0,3,0
173062,0,4,0
175202,0,10,0
176051,0,13,8
180163,0,384,1
180497,0,10,0
181268,0,6,0
182635,0,9,0
187499,0,1,0
194238,0,14,0
194513,0,12,0
195146,0,8,0
195569,0,16,0
195580,0,2,0
195636,0,5,0
195637,0,33,0
196625,0,19,0
198287,0,160,0
199799,0,1,0
200580,0,61,0
201016,0,12,0
201198,0,5,0
202670,0,4,0
202828,0,15,0
203349,0,2,0
205987,0,35,0
206231,0,13,0
206376,0,2,0
208173,0,16,0
208980,0,19,2
210272,0,4,0
210656,0,17,0
210857,0,1,0
212309,0,28,12
215521,0,3,0
215949,0,38,0
216915,0,23,0
218307,0,63,1
218388,0,4,0
218608,0,3,0
219101,0,68,0
219513,0,20,0
219761,0,88,0
220212,0,2,0
220536,0,114,0
221370,0,9,0
221678,0,1,0
222207,0,13,0
223997,0,18,0
225378,0,3,0
227987,0,5,0
228127,0,108,0
228141,0,8,0
228547,0,2,0
229910,0,6,0
230200,0,76,2
230334,0,3,0
231198,0,2,0
231285,0,55,1
231318,0,1,0
231373,0,14,0
231957,0,89,0
232270,0,1,0
235797,0,39,0
236264,0,9,1
236382,0,8,4
238027,0,9,0
238624,0,4,0
238809,0,14,1
241132,0,157,0
242189,0,103,0
246876,0,13,0
248771,0,14,0
248820,0,2,0
250519,0,15,0
250791,0,24,0
250951,0,15,0
251396,0,10,0
251946,0,7,0
253480,0,13,0
253695,0,17,0
254152,0,9,0
254682,0,1145,786
257701,0,23,0
257971,0,8,0
258142,0,74,0
258578,0,14,4
258602,0,3,0
