bugid,when,what,removed,added
1427533,2018-01-03 00:47:21 PST,CC,Unnamed: 3,aryx.bugmail.1
1427533,2018-01-10 00:58:33 PST,Priority,--,P3
1427533,2018-01-10 00:58:33 PST,CC,,wehuang
1427533,2018-08-18 02:09:29 PDT,CC,,Villa
1427533,2018-08-18 02:28:30 PDT,CC,,mark.finkle
1427533,2018-08-18 02:28:30 PDT,Flags,,needinfo?(mark.finkle)
1427533,2018-08-29 22:46:16 PDT,See Also,,1487307
1427533,2018-08-30 02:27:34 PDT,CC,,jan
1427533,2018-10-30 16:55:56 PDT,CC,,bugzilla
1427750,2018-01-03 07:23:36 PST,CC,Unnamed: 3,jmaher
1427750,2018-01-03 07:23:36 PST,Attachment #8939549  Flags,,review?(jmaher)
1427750,2018-01-03 07:26:05 PST,Attachment #8939549  Flags,review?(jmaher),review+
1427750,2018-01-03 13:58:59 PST,Status,NEW,RESOLVED
1427750,2018-01-03 13:58:59 PST,Resolution,---,FIXED
1427750,2018-01-03 13:58:59 PST,Target Milestone,---,Firefox 59
1427750,2018-01-03 13:58:59 PST,Closed,,2018/1/3 21:58
1427750,2018-01-03 13:58:59 PST,status-firefox59,affected,fixed
1427750,2018-01-03 13:58:59 PST,Comment 3 Tag,,bugherder
1427750,2018-01-29 16:35:47 PST,CC,,esigra
1427771,2018-01-03 18:49:58 PST,Priority,--,P2
1427771,2018-01-03 18:49:58 PST,CC,,"cnevinchen, jcheng, wehuang"
1427771,2018-01-03 18:49:58 PST,Flags,,"needinfo?(jcheng), needinfo?(wehuang)"
1427771,2018-01-04 09:15:04 PST,CC,,snorp
1427771,2018-01-04 09:15:04 PST,Flags,,needinfo?(cnevinchen)
1427771,2018-01-04 09:15:04 PST,tracking-fennec,?,+
1427771,2018-01-04 23:56:19 PST,Flags,needinfo?(wehuang),
1427771,2018-01-09 00:47:05 PST,Assignee,nobody,cnevinchen
1427771,2018-01-09 00:47:05 PST,Flags,needinfo?(cnevinchen),
1427771,2018-01-09 01:23:24 PST,Whiteboard,,[FNC][SPT59.5][BL]
1427771,2018-01-11 22:29:07 PST,Comment 5 Tag,,mozreview-request
